Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.IO.Pipelines 9.0.3,,,,,"System.IO.Pipelines, 9.0.3  Recommendation:  Remove System.IO.Pipelines, and replace with new package System.IO.Pipelines 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Linq 4.3.0,,,,,"System.Linq, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Linq.Expressions 4.3.0,,,,,"System.Linq.Expressions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Reflection 4.3.0,,,,,"System.Reflection, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Reflection.Metadata 9.0.3,,,,,"System.Reflection.Metadata, 9.0.3  Recommendation:  Remove System.Reflection.Metadata, and replace with new package System.Reflection.Metadata 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Reflection.MetadataLoadContext 8.0.0,,,,,"System.Reflection.MetadataLoadContext, 8.0.0  Recommendation:  Remove System.Reflection.MetadataLoadContext, and replace with new package System.Reflection.MetadataLoadContext 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Resources.Extensions 9.0.0,,,,,"System.Resources.Extensions, 9.0.0  Recommendation:  Remove System.Resources.Extensions, and replace with new package System.Resources.Extensions 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Runtime 4.3.1,,,,,"System.Runtime, 4.3.1  Recommendation:  Package functionality included with new framework reference"
